Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
85,no85-2013jan26dorothy_4of4.csv,PNM,canopy,Annona spraguei,Annonaceae,Magnoliales,magnoliids,tree,RubiscoRuBp,22.97,40.98,67.46,5.79,12,4,0,82.32,22.6,445.5,1.16,0.426,Wright et al.
86,no86-2013jan26dorothy1_1of2.csv,PNM,canopy,Posoqueria latifolia,Rubiaceae,Gentianales,asterids,tree,RubiscoTpu,6.5,58.24,,5.59,12,0,1,61.62,21.5,460.7,0.88,0.641,Wright et al.
87,no87-2013jan26agnes1_5of6.csv,PNM,canopy,Chrysophyllum cainito,Sapotaceae,Ericales,asterids,tree,RubiscoRuBpTpu,11.27,16.29,27.58,2.03,9,5,1,45.89,18.5,439.3,0.99,0.777,Wright et al.
88,no88-2013jan26dorothy1_2of2.csv,PNM,canopy,Oenocarpus mapora,Arecaceae,Arecales,monocots,tree,RubiscoRuBp,7.75,27.89,46.72,3.55,11,4,0,56.53,18.8,479.2,1.24,0.713,Chave et al. 
89,no89-2013jan26agnes1_6of6.csv,PNM,canopy,Astronium graveolens,Anacardiaceae,Sapindales,rosids,tree,RubiscoRuBp,15.94,18.03,28.78,2.23,10,5,0,32.88,29.3,448.1,2.31,0.808,Wright et al.
102,nonut-2013jan29agnes.csv,SLZ,canopy,Pera arborea,Euphorbiaceae,Malpighiales,rosids,tree,,,,,,,,,73.57,26.92,480.4,0.96,0.73,
104,no104-2013jan29brick2.csv,SLZ,ground,Aulomyrcia zetekiana,Myrtaceae,Myrtales,rosids,tree,RubiscoRuBp,8.05,17.31,34.81,2.62,11,4,0,64.84,11.6,423.8,0.98,0.788,Wright et al.
105,no105-2013jan29brick_3of3.csv,SLZ,ground,Cespedesia spathulata,Ochnaceae,Malpighiales,rosids,tree,RubiscoRuBpTpu,10.94,36.22,49.59,3.34,10,3,1,42.87,18,454.3,1.14,0.588,Chave et al. 
106,no106-2013jan29brick2_1.csv,SLZ,ground,Andira inermis,Fabaceae,Fabales,rosids,tree,RubiscoRuBpTpu,8.08,23.91,37.55,2.73,7,7,1,42.06,30.1,477.2,1.26,0.648,Wright et al.
107,no107-2013jan29brick_2of3.csv,SLZ,ground,Marila laxiflora,Calophyllaceae,Malpighiales,rosids,tree,RubiscoRuBp,5.64,13.83,26.09,1.9,10,5,0,32.15,20.9,457.2,1.03,0.673,Wright et al.
108,no108-2013jan29brick3.csv,SLZ,ground,Poulsenia armata,Moraceae,Rosales,rosids,tree,RuBpTpu,7.5,,48.78,3.46,0,13,1,32.95,14.6,364.8,1.53,0.315,Wright et al.
