Species,GrowthForm,kl,ksat,Al.As,ax,p50,p12,p88,Pmd,Ppd,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Method,Maximal Vessel Length (m),Note,Id
celastrus paniculatus,Liana,NA,NA,NA,NA,-1.42,NA,NA,-3.23,-0.34,0.46,11.431,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,3.01,,
combretum latifolium,Liana,NA,NA,NA,NA,-1.5,-0.19,-3.66,-2.02,-0.13,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
millettia pachycarpa,Liana,NA,NA,NA,NA,-1.15,-0.04,-2.69,-1.22,-0.21,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
uncaria macrophylla,Liana,NA,NA,NA,NA,-1,NA,NA,-1.73,-0.19,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
uncaria macrophylla,Liana,NA,NA,NA,NA,-1,NA,NA,-2.95,-0.15,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
ventilago calyculata,Liana,NA,NA,NA,NA,-1,-0.4,-2.82,-2.87,-0.41,0.48,12.857,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,1.1,,
ziziphus attopensis,Liana,NA,NA,NA,NA,-0.9,-0.2,-2.5,-2.72,-0.17,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
ziziphus attopensis,Liana,NA,NA,NA,NA,-0.9,-0.2,-2.5,-2.43,-0.35,NA,NA,1500,22.9,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,Bench dehydration,NA,,
celastrus paniculatus,Liana,NA,8.62,NA,46.96569842,-1.389333404,-0.328756094,-2.449910715,-3,-0.3,0.46,11.43,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,3.01,,27
celtis tetrandra,Tree,NA,6.21,NA,NA,-1.53,NA,NA,NA,NA,0.53,11.04,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,1.2,,
ficus concinna,Tree,NA,3.95,NA,NA,-1.43,NA,NA,NA,NA,0.51,13.29,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.61,,
harpullia cupanioides,Tree,NA,2.2,NA,NA,-2.51,NA,NA,NA,NA,0.44,12.5,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,1.92,,
marsdenia sinensis,Liana,NA,10.57,NA,71.54455989,-1.014259382,-0.510546662,-2.014942355,-2.8,-0.1,0.36,13.2,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,2.35,,28
michelia hypolampra,Tree,NA,1.69,NA,NA,-2.25,NA,NA,NA,NA,NA,NA,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,0.74,,
streblus asper,Tree,NA,1.86,NA,NA,-2.93,NA,NA,NA,NA,0.55,12.08,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Pressure sleeve,0.72,,
ventilago calyculata,Liana,NA,4.8,NA,42.72644003,-1.470718392,-0.665692676,-3.249266013,-3,-0.65,0.48,12.86,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Bench dehydration,1.1,,29
alphitonia excelsa,Tree,0.001003,4.89,0.487537388,10.88825215,-5.56,-2.1,-9.05,-4.47,-4.18,0.67,9.44,1132,18.5,Choat et al. 2005,Tropical seasonal forest,145.75,-19.18333333,Bench dehydration,0.2,,
austromyrtus bidwillii,Tree,NA,NA,NA,NA,-5.12,NA,-12,-6.07,NA,NA,NA,1132,18.5,Choat et al. 2005,Tropical seasonal forest,145.75,-19.1833,Bench dehydration,0.37,,
brachychiton australis,Tree,0.002019,6.46,0.319960376,19.19191919,-3.17,-1.2,-5.15,-1.89,-0.37,0.25,13.44,1132,18.5,Choat et al. 2005,Tropical seasonal forest,145.75,-19.18333333,Bench dehydration,0.33,,
cochlospermum gillivraei,Tree,0.003982,7.75,0.194625816,62.29508197,-1.44,-0.85,-2.05,-1.41,-0.44,0.3,16.5,1132,18.5,Choat et al. 2005,Tropical seasonal forest,145.75,-19.18333333,Bench dehydration,0.34,,
gossia bidwillii,Tree,0.00018,1.24,0.688888889,5.523255814,-5.12,NA,-12,-6.07,-4.47,0.71,11.61,1132,18.5,Choat et al. 2005,Tropical seasonal forest,145.75,-19.18333333,Bench dehydration,NA,,
cordia alliodora,Tree,0.001258637,9.562827947,0.759776484,15.70247934,-3.6,-1.05,-6.02,-3.158333333,-2.133333333,0.520307692,10.13067281,1460,26.491,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Bench dehydration,NA,,
cordia alliodora,Tree,0.001203539,10.99587564,0.913628527,17.11711712,-2.93,-0.75,-5.15,-1.6125,-0.5625,0.520307692,11.44952373,2600,26.27266667,Choat et al. 2007,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
cordia alliodora,Tree,0.001022978,8.931733887,0.873111043,20.32085561,-1.78,NA,-3.65,NA,-0.125,0.520307692,11.62621607,4200,25.98566667,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Bench dehydration,NA,,
cordia collococa,Tree,NA,NA,NA,NA,-2.34,NA,-4.05,-1.91,NA,NA,NA,1460,25.95,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Bench dehydration,NA,,
cordia cymosa,Tree,0.000807631,7.806902666,0.966642274,28.14814815,-1.2,NA,-2.55,NA,-0.2375,NA,13.69162853,4200,25.98566667,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Bench dehydration,NA,,
cordia inermis,Tree,0.000248493,1.842397477,0.741428321,NA,NA,NA,NA,-1.15,NA,NA,32.62398287,1460,26.491,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,NA,NA,,
cordia lasiocalyx,Tree,0.000191891,3.764341188,1.961708047,22.35294118,-2.57,-0.9,-4.27,-1.0125,-0.5525,0.397,17.85176439,2600,26.27266667,Choat et al. 2007,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
cordia lucidula,Tree,0.000288741,3.323462731,1.15101864,27.3381295,-1.58,-0.23,-2.97,NA,-0.2875,NA,17.82559317,4200,25.98566667,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Bench dehydration,NA,,
cordia nodosa,Tree,0.000404829,3.71533023,0.917752985,22.22222222,-2.34,-0.65,-4.05,-1.911111111,-0.941666667,0.39,7.565508966,1460,26.491,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Bench dehydration,NA,,
cordia panamensis,Tree,0.000731387,11.63171081,1.590363352,29.6875,-2.33,-1.07,-3.61,-1.8375,-0.1625,NA,11.03015463,2600,26.27266667,Choat et al. 2007,Tropical rainforest,-79.846036,9.166666667,Bench dehydration,NA,,
araucaria hunsteinii,Tree,NA,NA,NA,44.84,-4.07,-3.222542373,-4.917457627,NA,NA,0.5683735,NA,2654,26.555,Cochard 2006,Tropical rainforest,-52.68,5.1806,Centrifugation,NA,,
anacardium excelsum,Tree,0.00047,4.52,0.961702128,NA,-0.9,NA,NA,-0.58,-0.33,0.35,8.47,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,0.487,,
annona spraguei,Tree,0.00072,8.68,1.205555556,NA,-0.17,NA,NA,-1.12,-0.22,0.27,15.3,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,
antirrhea trichantha,Tree,0.00054,4.25,0.787037037,NA,-1.19,NA,NA,-1.24,-0.21,0.37,15.7,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,
arrabidaea pattellifera,Liana,0.00167,12.2,0.730538922,101.2859063,-0.185349992,-0.008177581,-1.460125548,-1.35,-0.22,0.41,14.8,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,1
astronium graveolens,Tree,0.00049,3.19,0.651020408,NA,-0.48,NA,NA,-0.73,-0.38,0.41,14.1,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,
combretum fruticosum,Liana,0.00118,5.73,0.48559322,115.2020172,-0.246358098,-0.043392328,-1.398687644,-1.37,-0.39,0.54,15.9,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,2
cordia alliodora,Tree,0.00178,14.8,0.831460674,NA,-0.4,NA,NA,-1.26,-0.3,0.37,NA,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,
doliocarpus dentatus,Liana,0.00029,5.85,2.017241379,67.39737355,-0.274585248,-0.011581202,-2.228478498,-1.17,-0.34,0.4,13.7,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,3
hiraea reclinata,Liana,0.00054,2.91,0.538888889,87.39726241,-0.711152541,-0.319086627,-1.584954975,-1.63,-0.35,0.65,10.5,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,4
luehea seemannii,Tree,0.00022,1.26,0.572727273,NA,-0.87,NA,NA,-1.01,-0.34,0.27,16.1,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,
mikania leiostacya,Liana,0.00077,10.1,1.311688312,81.6241716,-0.302085445,-0.02806726,-1.454171836,-1.02,-0.26,0.22,21.2,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,6
serjania mexicana,Liana,0.00152,27.82,1.830263158,136.3773615,-0.214504378,-0.039079754,-1.177390439,-1.34,-0.38,0.33,12.9,1865,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Centrifugation,NA,,5
blepharocalyx salicifolius,Tree,NA,21,NA,26.38888889,-1.4,-0.42,-2.84,-2.6,NA,0.55,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Pressure sleeve,NA,,
byrsonima crassa,Tree,NA,49,NA,24.35897436,-0.9,-0.29,-2.46,-2,NA,0.52,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Pressure sleeve,NA,,
kielmeyera coriacea,Tree,NA,32,NA,39.58333333,-0.8,-0.14,-1.76,-2.4,NA,0.66,4.897788194,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Pressure sleeve,NA,,
qualea parviflora,Tree,NA,47,NA,19.79166667,-1,-0.26,-2.92,-1.1,NA,0.28,NA,1500,21,Domec et al. 2006a,Tropical seasonal forest,-47.88333333,-15.93333333,Pressure sleeve,NA,,
laguncularia racemosa,Tree,NA,NA,NA,NA,-3.4,NA,NA,NA,NA,0.61,NA,1350,25,Ewers et al. 2004,Tropical seasonal forest,-96.3859,19.5653,Bench dehydration,2,,
gnetum,Liana,8.50E-05,1.8,2.117647059,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
gnetum costatum,Tree,0.000125,1.12,0.896,NA,-3.1,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
gnetum gnemon,Tree,0.000127,1.1,0.866141732,NA,-4.620333333,NA,NA,NA,NA,0.61,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
gnetum latifolium,Liana,0.000101,1.65,1.633663366,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
gonocaryum,Liana,0.000175,4.59504,2.625737143,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
hibiscus,Tree,0.00041,9.2,2.243902439,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
homalanthus novoguineensis,Tree,0.00032,3.87,1.209375,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
horsfieldia,Tree,0.000188,1.45455,0.773696809,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
kleinhovia hospita,Tree,0.0004445,8.2,1.844769404,NA,NA,NA,NA,NA,NA,0.428666667,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
piper betle,Liana,8.50E-05,1.05785,1.244529412,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
podocarpus neriifolius,Tree,0.000125,0.45,0.36,NA,NA,NA,NA,NA,NA,0.476875,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
tinospora,Liana,0.000235,10.1488,4.318638298,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
trema orientalis,Tree,0.00024,5.87,2.445833333,NA,NA,NA,NA,NA,NA,0.345333333,10.47128548,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
trichospermum pleiostigma,Tree,0.000297,7.66942,2.582296296,NA,NA,NA,NA,NA,NA,NA,NA,3558,26.5,Feild and Balun 2008,Tropical rainforest,145.6833333,-5.133333333,NA,NA,,
ardisia palmana,Tree,0.00062,0.23,0.037096774,NA,NA,NA,NA,NA,NA,NA,NA,3000,17.2,Feild and Holbrook 2000,Tropical rainforest,-84.7,10.2,NA,NA,,
